# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-422-J20.gdsk selected_coord_sketches/AG-909-N22.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-422-J20_AG-909-N22.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:08 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	159	875	.	ab	0.3186	1.5608
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	525	1046	.	ab	0.30446	1.5277
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	662	1183	.	ab	0.25297	9.5025
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	1254	3599	.	ab	0.302	19.04
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	1623	2144	.	ab	0.27683	4.6599
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	1689	2210	.	ab	0.28605	3.3645
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	3205	3726	.	ab	0.2585	8.1633
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	3283	3804	.	ab	0.2585	8.1633
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	3568	4089	.	ab	0.26477	6.8121
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	3773	5581	.	ab	0.26858	32.171
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	4254	4775	.	ab	0.27134	5.572
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	4515	5036	.	ab	0.28185	3.9199
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	5380	5901	.	ab	0.25145	9.8952
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	5573	6346	.	ab	0.30968	2.7698
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	5579	6100	.	ab	0.30446	1.5277
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	6347	6550	.	ab	0.2166	5.8906
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	6450	6971	.	ab	0.29183	2.6881
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	6484	7005	.	ab	0.29183	2.6881
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	6584	7024	.	ab	0.29673	1.5072
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	6962	7483	.	ab	0.35021	0
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	7021	7431	.	ab	nan	nan
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	7435	8772	.	ab	0.32897	3.4316
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	7595	8116	.	ab	0.28605	3.3645
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	8325	8846	.	ab	0.35021	0
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	8803	8928	.	ab	nan	nan
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	8918	9619	.	ab	0.28544	5.705
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	9623	10144	.	ab	0.28185	3.9199
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	9710	10231	.	ab	0.28185	3.9199
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	9850	10995	.	ab	0.29558	8.7266
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	10377	10898	.	ab	0.2889	3.0183
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	10922	11443	.	ab	0.27134	5.572
gdiff	AG-422-J20_contigs.fasta	AG-909-N22_contigs.fasta	AG-422-J20_NODE_1	11034	11213	.	ab	0.27116	0.47872
