genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00009	10330	12504	2175	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00040	37508	38488	981	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00043	39554	41950	2397	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00044	41951	42220	270	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00045	42226	42960	735	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00049	44326	45783	1458	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00057	51374	52759	1386	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00059	53422	54213	792	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00063	55808	57439	1632	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00135	123546	125462	1917	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00139	128248	132744	4497	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00179	165965	168199	2235	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00187	173818	175890	2073	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00192	180342	181505	1164	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00204	191937	194222	2286	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00210	198104	200026	1923	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00238	219152	221023	1872	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00241	223334	224605	1272	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00259	236556	237311	756	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00265	239348	241417	2070	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00275	249512	251332	1821	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00278	252337	254436	2100	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00285	261005	262090	1086	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00290	265690	267183	1494	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_1	289199	27	AG-913-I22_00314	286553	287707	1155	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_11	27685	27	AG-913-I22_00794	2401	3426	1026	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_11	27685	27	AG-913-I22_00795	3547	4437	891	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_11	27685	27	AG-913-I22_00802	8804	10423	1620	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_11	27685	27	AG-913-I22_00803	10427	11380	954	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_11	27685	27	AG-913-I22_00805	12129	14561	2433	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_11	27685	27	AG-913-I22_00818	22644	24056	1413	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_12	27435	27	AG-913-I22_00827	1425	2297	873	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_12	27435	27	AG-913-I22_00828	2294	3364	1071	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_12	27435	27	AG-913-I22_00829	3361	4008	648	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_12	27435	27	AG-913-I22_00832	5983	6675	693	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_12	27435	27	AG-913-I22_00841	11916	12785	870	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_12	27435	27	AG-913-I22_00852	22033	23481	1449	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00318	966	1544	579	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00335	13519	13755	237	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00336	13756	14187	432	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00337	14177	14836	660	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00355	31939	33654	1716	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00356	33654	36275	2622	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00364	41445	42482	1038	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00378	54465	56099	1635	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00383	60125	60700	576	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00387	63256	64653	1398	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00389	65766	66560	795	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00414	91908	92360	453	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_2	93241	27	AG-913-I22_00415	92396	93136	741	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_22	2736	27	AG-913-I22_00928	726	1850	1125	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_23	2626	27	AG-913-I22_00932	882	1829	948	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_25	2355	27	AG-913-I22_00936	1144	2226	1083	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_3	59973	27	AG-913-I22_00421	4169	5575	1407	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_3	59973	27	AG-913-I22_00423	6527	8293	1767	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_3	59973	27	AG-913-I22_00427	11542	12576	1035	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_3	59973	27	AG-913-I22_00444	25012	25980	969	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_3	59973	27	AG-913-I22_00448	28323	29120	798	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_3	59973	27	AG-913-I22_00462	42913	43875	963	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_3	59973	27	AG-913-I22_00466	46958	49627	2670	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_4	58965	27	AG-913-I22_00498	15735	16913	1179	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_4	58965	27	AG-913-I22_00514	29240	31135	1896	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_4	58965	27	AG-913-I22_00518	34328	35620	1293	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_4	58965	27	AG-913-I22_00519	35617	36507	891	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_4	58965	27	AG-913-I22_00523	38414	39148	735	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_4	58965	27	AG-913-I22_00527	41196	43103	1908	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_4	58965	27	AG-913-I22_00540	55610	56920	1311	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_4	58965	27	AG-913-I22_00542	57721	58932	1212	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_5	52692	27	AG-913-I22_00592	48978	51158	2181	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_6	42118	27	AG-913-I22_00596	310	1575	1266	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_6	42118	27	AG-913-I22_00610	9972	11306	1335	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_6	42118	27	AG-913-I22_00612	11987	13078	1092	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_6	42118	27	AG-913-I22_00613	13209	14828	1620	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_6	42118	27	AG-913-I22_00618	17757	19541	1785	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_6	42118	27	AG-913-I22_00623	22783	24642	1860	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_6	42118	27	AG-913-I22_00625	25144	25932	789	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_6	42118	27	AG-913-I22_00632	31444	32133	690	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_6	42118	27	AG-913-I22_00644	38232	39533	1302	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_7	41066	27	AG-913-I22_00660	12605	14173	1569	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_7	41066	27	AG-913-I22_00665	16960	17997	1038	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_8	32038	27	AG-913-I22_00693	2137	3240	1104	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_8	32038	27	AG-913-I22_00695	3613	6483	2871	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_8	32038	27	AG-913-I22_00698	8484	9659	1176	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_8	32038	27	AG-913-I22_00713	22636	24117	1482	-	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_9	30190	27	AG-913-I22_00727	1846	3036	1191	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_9	30190	27	AG-913-I22_00735	5926	10008	4083	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_9	30190	27	AG-913-I22_00737	10322	14491	4170	+	1	1	0	1	1
AG-913-I22	reference	AG-913-I22_NODE_9	30190	27	AG-913-I22_00740	15493	17571	2079	+	1	1	0	1	1
