# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-909-G08.gdsk selected_coord_sketches/AG-895-F17.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-909-G08_AG-895-F17.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:09 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	321	1679	.	ab	0.15139	205.88
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	641	1162	.	ab	0.17874	46.288
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	807	1328	.	ab	0.18879	38.629
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	1840	2664	.	ab	0.20996	44.302
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	1980	2501	.	ab	0.23608	14.418
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	2061	2582	.	ab	0.23608	14.418
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	2664	3581	.	ab	0.20537	54.646
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	3574	4137	.	ab	0.22469	20.684
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	3912	4433	.	ab	0.211	25.092
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	4007	4528	.	ab	0.21208	24.537
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	4186	5004	.	ab	0.22992	29.321
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	4354	4875	.	ab	0.23682	14.168
gdiff	AG-895-F17_contigs.fasta	AG-909-G08_contigs.fasta	AG-895-F17_NODE_1	4994	6205	.	ab	0.29919	8.3834
