# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-917-P07.gdsk selected_coord_sketches/AG-915-E06.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-917-P07_AG-915-E06.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:12 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	52	1038	.	ab	0.01518	823.92
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	556	1077	.	ab	0.012347	442.49
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	700	1221	.	ab	0.0085441	464.27
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	1047	1823	.	ab	0.019909	609.47
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	1717	2238	.	ab	0.0066478	475.91
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	1787	2308	.	ab	0.010062	455.36
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	1820	2929	.	ab	0.017719	901.58
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	2951	3961	.	ab	0.02872	720.84
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	3392	3913	.	ab	0.02114	397.57
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	3474	3995	.	ab	0.011591	446.69
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	3775	4296	.	ab	0.0070447	473.42
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	3951	4334	.	ab	0.0083998	338.1
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	4336	4662	.	ab	0.0045621	301.98
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	4501	5022	.	ab	0.019995	403.07
gdiff	AG-915-E06_contigs.fasta	AG-917-P07_contigs.fasta	AG-915-E06_NODE_1	4662	6437	.	ab	0.016223	1479.7
