genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00001	52	1038	987	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00002	1047	1823	777	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00003	1820	2929	1110	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00004	2951	3961	1011	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00005	3951	4334	384	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00006	4336	4662	327	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00007	4662	6437	1776	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00008	6437	7216	780	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00009	7256	8749	1494	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00010	8760	9722	963	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00011	9725	10885	1161	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00012	10886	11761	876	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00013	11797	14715	2919	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00014	14722	16026	1305	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00015	16027	17427	1401	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00016	17449	19404	1956	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00017	19513	20070	558	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00018	20071	21606	1536	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00019	21613	22488	876	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00020	22491	23909	1419	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00021	23909	24301	393	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00022	24298	24771	474	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00023	24773	25912	1140	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00024	25909	26259	351	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00025	26277	26798	522	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00026	26800	28038	1239	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00027	28051	29157	1107	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00028	29147	30130	984	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00029	30158	30412	255	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00030	30426	30824	399	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00031	30890	31609	720	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00032	31611	32207	597	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00033	32210	33328	1119	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00034	33521	34603	1083	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00035	34604	35500	897	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00036	35497	36240	744	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00037	36230	37606	1377	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00038	37607	39046	1440	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00039	39135	40697	1563	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00040	40697	41749	1053	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00042	42113	42661	549	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00043	42663	43733	1071	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00044	43726	44607	882	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00045	44611	45654	1044	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00046	45654	46838	1185	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00047	47004	47567	564	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00048	47560	48111	552	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00049	48148	50982	2835	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00050	51034	51741	708	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00051	51741	53282	1542	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00052	53325	54611	1287	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00053	54595	55056	462	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00054	55061	56005	945	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00055	56009	56698	690	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00056	56676	57389	714	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00057	57437	58042	606	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00058	58039	61161	3123	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00059	61169	62161	993	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00060	62165	62977	813	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00061	62979	63422	444	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00062	63457	64338	882	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00063	64331	64966	636	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00064	64953	65249	297	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00065	65278	65811	534	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00066	65848	67158	1311	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00067	67284	67589	306	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00068	67632	68078	447	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00069	68179	70254	2076	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00070	70271	70774	504	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00071	70771	71721	951	-	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00072	71771	72655	885	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00073	72657	73847	1191	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00074	73876	75060	1185	+	1	1	1	0	1
AG-915-E06	query	AG-915-E06_NODE_1	301188	20	AG-915-E06_00075	75091	75384	294	+	1	1	1	0	1
