genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00003	2414	2716	303	-	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00004	2737	3810	1074	-	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00005	3822	4856	1035	-	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00006	4936	5319	384	+	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00007	5415	6605	1191	-	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00008	6625	8091	1467	-	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00009	8106	9071	966	-	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00010	9130	10467	1338	-	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00011	10485	11576	1092	-	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00012	11651	12739	1089	+	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00013	12759	14045	1287	+	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00019	17629	18909	1281	-	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00021	20287	23025	2739	+	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00022	23059	24048	990	+	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00023	24094	24288	195	+	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00024	24285	26963	2679	-	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00025	26996	27556	561	-	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00026	27544	28788	1245	-	1	1	0	1	1
AG-916-M14	reference	AG-916-M14_NODE_1	380282	16	AG-916-M14_00027	28789	31257	2469	-	1	1	0	1	1
