genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00002	898	1419	522	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00005	2926	3399	474	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00007	3783	5201	1419	-	1	2	2	0	2
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00008	5204	6076	873	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00009	6083	7618	1536	-	1	2	2	0	2
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00010	7619	8176	558	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00011	8285	10240	1956	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00012	10263	11663	1401	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00013	11664	12962	1299	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00014	12968	15886	2919	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00016	16798	17958	1161	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00017	17961	18923	963	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00018	18933	20426	1494	-	1	2	2	0	2
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00020	21245	23020	1776	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00024	24741	25850	1110	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00026	26631	28247	1617	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00027	28250	30013	1764	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00028	30040	31146	1107	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00030	31745	33148	1404	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00032	33719	34405	687	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00033	34420	34854	435	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00034	34867	36225	1359	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00044	45915	47243	1329	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00045	47249	48610	1362	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00046	48600	49184	585	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00047	49262	50419	1158	-	1	2	2	0	2
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00048	50546	51619	1074	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00050	52691	53539	849	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00051	53543	54406	864	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00052	54481	56010	1530	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00056	59263	60216	954	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00062	65504	66655	1152	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00063	66668	67183	516	-	1	2	2	0	2
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00069	70596	71303	708	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00070	71483	71803	321	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00073	72784	73545	762	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00074	73625	74659	1035	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00078	76870	77250	381	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00079	77257	78396	1140	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00080	78393	78614	222	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00082	79464	80954	1491	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00084	81667	82761	1095	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00091	86861	87706	846	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00099	92954	95050	2097	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00101	95806	96066	261	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00102	96066	97877	1812	+	1	2	2	0	2
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00103	97946	98296	351	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00105	98995	100620	1626	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00115	109925	112009	2085	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00120	113690	114445	756	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00122	115164	115790	627	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00123	115796	116386	591	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00125	116991	118364	1374	+	1	2	2	0	2
AG-390-A23	query	AG-390-A23_NODE_1	122699	51	AG-390-A23_00133	122315	122683	369	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_10	22639	51	AG-390-A23_00541	3187	4194	1008	+	1	2	2	0	2
AG-390-A23	query	AG-390-A23_NODE_10	22639	51	AG-390-A23_00543	4826	5950	1125	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_10	22639	51	AG-390-A23_00544	5950	6846	897	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_10	22639	51	AG-390-A23_00546	8402	9085	684	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_10	22639	51	AG-390-A23_00548	9770	11590	1821	+	1	2	2	0	2
AG-390-A23	query	AG-390-A23_NODE_10	22639	51	AG-390-A23_00551	13882	14619	738	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_10	22639	51	AG-390-A23_00552	14665	16020	1356	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_10	22639	51	AG-390-A23_00553	16017	17618	1602	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_10	22639	51	AG-390-A23_00554	17621	18484	864	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_10	22639	51	AG-390-A23_00556	19238	19855	618	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_10	22639	51	AG-390-A23_00559	20425	22617	2193	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_11	20520	51	AG-390-A23_00560	63	1436	1374	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_11	20520	51	AG-390-A23_00561	1544	2734	1191	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_11	20520	51	AG-390-A23_00564	5379	6389	1011	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_11	20520	51	AG-390-A23_00565	6391	7098	708	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_11	20520	51	AG-390-A23_00566	7098	7886	789	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_11	20520	51	AG-390-A23_00568	8692	9603	912	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_11	20520	51	AG-390-A23_00572	11445	12185	741	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_11	20520	51	AG-390-A23_00573	12182	13234	1053	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_11	20520	51	AG-390-A23_00575	13400	14293	894	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_11	20520	51	AG-390-A23_00576	14358	15596	1239	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_11	20520	51	AG-390-A23_00579	16731	16973	243	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_11	20520	51	AG-390-A23_00583	19481	20431	951	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_12	13059	51	AG-390-A23_00585	1128	2789	1662	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_12	13059	51	AG-390-A23_00587	4600	6426	1827	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_14	12400	51	AG-390-A23_00608	151	333	183	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_14	12400	51	AG-390-A23_00609	353	1354	1002	+	1	2	2	0	2
AG-390-A23	query	AG-390-A23_NODE_14	12400	51	AG-390-A23_00610	1356	1655	300	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_14	12400	51	AG-390-A23_00611	1648	2031	384	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_14	12400	51	AG-390-A23_00615	3590	4918	1329	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_14	12400	51	AG-390-A23_00616	5132	5590	459	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_14	12400	51	AG-390-A23_00617	5592	6029	438	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_14	12400	51	AG-390-A23_00623	9515	10366	852	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_14	12400	51	AG-390-A23_00624	10882	11151	270	-	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_15	11787	51	AG-390-A23_00626	29	751	723	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_15	11787	51	AG-390-A23_00627	751	1047	297	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_15	11787	51	AG-390-A23_00629	1432	2109	678	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_15	11787	51	AG-390-A23_00630	2112	2522	411	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_15	11787	51	AG-390-A23_00633	2942	3310	369	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_15	11787	51	AG-390-A23_00635	3555	4109	555	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_15	11787	51	AG-390-A23_00636	4112	4417	306	+	1	1	1	0	1
AG-390-A23	query	AG-390-A23_NODE_15	11787	51	AG-390-A23_00637	4429	4824	396	+	1	2	2	0	2
AG-390-A23	query	AG-390-A23_NODE_15	11787	51	AG-390-A23_00638	4824	5363	540	+	1	1	1	0	1
