# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-907-B04.gdsk selected_coord_sketches/AG-893-E21.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-907-B04_AG-893-E21.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:11 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	426	956	.	ab	0.0012291	537.01
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	691	1212	.	ab	0.0012415	527.66
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	870	1391	.	ab	4.7832e-08	596.16
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	919	3285	.	ab	0.00051859	2446.8
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	2134	2655	.	ab	0.001713	522.91
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	2221	2742	.	ab	4.7832e-08	596.16
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	3293	3892	.	ab	4.7832e-08	677.24
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	3988	4923	.	ab	4.7832e-08	1026.8
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	4216	4737	.	ab	4.7832e-08	596.16
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	4318	4839	.	ab	4.7832e-08	596.16
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	4693	5214	.	ab	4.7832e-08	596.16
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	5048	6658	.	ab	4.7832e-08	1729.7
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	5595	6116	.	ab	4.7832e-08	596.16
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	5938	6459	.	ab	4.7832e-08	596.16
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	6698	7657	.	ab	4.7832e-08	1051.8
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	7076	7597	.	ab	4.7832e-08	596.16
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	7338	7859	.	ab	4.7832e-08	596.16
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	7667	8293	.	ab	0.0021672	625.19
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	8290	8769	.	ab	4.7832e-08	552.52
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	8484	9005	.	ab	4.7832e-08	596.16
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	8528	9049	.	ab	4.7832e-08	596.16
gdiff	AG-893-E21_contigs.fasta	AG-907-B04_contigs.fasta	AG-893-E21_NODE_1	8770	9300	.	ab	4.7832e-08	605.51
