# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-911-I16.gdsk selected_coord_sketches/AG-894-I07.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-911-I16_AG-894-I07.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	580	1101	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	731	1252	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	1274	2605	.	ab	0.3458	1.612
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	1793	2314	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	1866	2387	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	2602	3648	.	ab	0.2926	8.6912
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	3542	4063	.	ab	0.35122	0
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	3628	4149	.	ab	0.35122	0
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	3667	5580	.	ab	0.37591	0.56139
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	3942	4463	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	4700	5221	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	4988	5509	.	ab	0.35122	0
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	5673	6758	.	ab	0.32548	2.8299
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	5944	6465	.	ab	0.35122	0
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	6164	6685	.	ab	0.32288	0.53131
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	6739	7773	.	ab	0.29782	7.2619
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	7127	7648	.	ab	0.28048	4.2915
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	7164	7685	.	ab	0.28048	4.2915
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	7692	8213	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	7845	8360	.	ab	0.3433	0.032288
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	8391	8912	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	8482	9804	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	9198	9719	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	9810	10622	.	ab	0.32511	1.5746
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	10632	11153	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	10639	11043	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	10729	11250	.	ab	0.35122	0
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	11056	11760	.	ab	0.36345	0
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	11465	11986	.	ab	0.29295	2.6942
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	11805	12185	.	ab	0.33787	0
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	12067	12588	.	ab	0.28299	3.93
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	12253	12996	.	ab	0.30901	2.7673
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	12997	13797	.	ab	0.34119	0.54363
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	13794	14369	.	ab	0.3066	1.8192
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	14397	14759	.	ab	0.33577	0
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	14763	15026	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	15192	17189	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	15836	16357	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	16748	17269	.	ab	nan	nan
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	17202	18212	.	ab	0.37758	0
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	17947	18468	.	ab	0.35122	0
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	18214	19410	.	ab	0.31252	5.5572
gdiff	AG-894-I07_contigs.fasta	AG-911-I16_contigs.fasta	AG-894-I07_NODE_1	18790	19311	.	ab	0.32288	0.53131
