genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00001	910	4326	3417	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00002	4319	4996	678	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00003	4989	6221	1233	-	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00004	6224	7552	1329	-	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00005	7554	7799	246	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00006	7799	9457	1659	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00007	9459	10205	747	-	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00008	10205	10750	546	-	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00009	10750	12168	1419	-	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00010	12170	13651	1482	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00011	13651	15564	1914	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00012	15567	15878	312	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00013	15871	16503	633	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00014	16506	16958	453	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00015	16994	17992	999	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00016	17993	20023	2031	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00017	20016	21347	1332	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00018	21340	21948	609	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00019	21945	23120	1176	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00020	23104	23709	606	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00021	23712	24227	516	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00022	24240	24680	441	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00025	25013	25132	120	-	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00026	25150	27528	2379	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00027	27589	28857	1269	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00028	28946	29557	612	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00029	29591	31033	1443	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00031	31229	31477	249	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00032	31489	31662	174	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00033	31649	32080	432	+	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00034	32077	32214	138	-	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00035	32224	32781	558	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00036	32784	33464	681	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00037	33461	33874	414	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00038	33933	34073	141	+	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00039	34070	34720	651	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00040	34933	35679	747	-	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00041	35685	37142	1458	-	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00042	37168	38502	1335	-	1	1	0	1	1
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00043	38499	39113	615	-	1	1	0	1	1
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00044	39190	40284	1095	-	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00045	40425	42020	1596	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00046	42020	42613	594	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00047	42613	43371	759	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00048	43356	44156	801	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00049	44160	44279	120	+	1	1	0	1	1
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00050	44285	46069	1785	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00051	46183	46467	285	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00052	46472	47638	1167	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00053	47653	48726	1074	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00054	48723	49802	1080	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00055	50036	50386	351	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00056	50408	52267	1860	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00057	52267	52737	471	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00058	52771	53565	795	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00059	53671	54078	408	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00060	54079	54849	771	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00061	54812	55369	558	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00062	55366	56529	1164	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00063	56531	57751	1221	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00064	57758	58933	1176	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00065	59099	60217	1119	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00066	60259	60429	171	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00067	60434	61198	765	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00068	61198	61341	144	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00069	61333	61896	564	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00070	61923	62396	474	+	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00071	62389	62967	579	+	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00072	62964	63347	384	-	1	3	0	3	3
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00073	63369	64148	780	+	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00074	64156	65172	1017	+	1	2	0	2	2
AG-912-F16	reference	AG-912-F16_NODE_1	279236	21	AG-912-F16_00075	65173	65637	465	+	1	3	0	3	3
