genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00001	1203	1628	426	-	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00002	1771	2526	756	-	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00003	2508	4682	2175	-	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00004	4719	5918	1200	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00005	5918	6574	657	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00006	6566	7588	1023	-	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00007	7597	7986	390	-	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00008	8014	8958	945	-	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00009	8980	9924	945	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00010	9924	10586	663	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00011	10590	11315	726	-	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00012	11428	12873	1446	+	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00013	12876	16100	3225	-	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00014	16078	17274	1197	-	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00015	17401	17862	462	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00016	17862	19637	1776	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00017	19705	21528	1824	+	1	2	1	1	2
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00020	21760	22353	594	-	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00021	22365	23156	792	-	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00022	23258	24001	744	+	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00023	24579	25037	459	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00024	25048	26529	1482	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00025	26548	27558	1011	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00026	27555	27860	306	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00027	27860	29551	1692	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00028	29554	32397	2844	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00029	32398	33483	1086	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00030	33483	34781	1299	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00031	34768	35889	1122	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00032	35893	36957	1065	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00033	36947	38344	1398	+	1	1	1	0	1
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00034	38341	39246	906	+	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00035	39248	40162	915	+	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00036	40143	40814	672	+	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00037	40807	41505	699	+	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00038	41570	42490	921	+	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00039	42538	43377	840	+	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00040	43379	45409	2031	+	0	0	0	0	0
AG-349-L17	both	AG-349-L17_NODE_1	109560	41	AG-349-L17_00041	45392	47086	1695	-	1	1	1	0	1
