genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00034	28277	28417	141	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00035	28418	29071	654	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00041	34759	35847	1089	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00050	44653	45411	759	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00051	45396	46199	804	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00053	47073	48377	1305	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00057	50752	52536	1785	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00058	52648	52932	285	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00059	52937	54103	1167	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00060	54120	55187	1068	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00061	55184	56263	1080	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00062	56494	56844	351	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00063	56866	58725	1860	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00064	58725	59195	471	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00065	59240	60040	801	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00071	64212	65390	1179	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00072	65555	66673	1119	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00077	68377	68850	474	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00078	68843	69421	579	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00079	69418	69801	384	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00080	69847	70317	471	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00081	70447	71748	1302	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00082	71895	72170	276	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00083	72327	73439	1113	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00119	105307	106122	816	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00120	106119	106535	417	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00121	106563	107540	978	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00122	107629	108573	945	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00123	108574	109443	870	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00124	109475	110455	981	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00125	110458	111609	1152	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00126	111609	112664	1056	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00127	112791	114083	1293	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00128	114151	115050	900	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00129	115050	115994	945	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00130	115994	116185	192	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00131	116187	117269	1083	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00133	118245	118898	654	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00134	118907	119899	993	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00135	119959	120924	966	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00157	138340	138930	591	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00158	138930	139835	906	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00159	139828	140715	888	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00161	141332	142738	1407	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00164	143319	143618	300	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00165	143622	144086	465	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00166	144086	145303	1218	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00167	145300	146547	1248	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00168	146548	147282	735	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00169	147284	148726	1443	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00170	148728	149153	426	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00171	149292	149948	657	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00172	149945	151087	1143	-	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00173	151133	152362	1230	+	1	1	0	1	1
AG-894-P23	reference	AG-894-P23_NODE_1	167490	42	AG-894-P23_00174	152363	154789	2427	-	1	1	0	1	1
