# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-912-F16.gdsk selected_coord_sketches/AG-903-D02.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-912-F16_AG-903-D02.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:14 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	613	1134	.	ab	0.0038575	494.14
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	773	1294	.	ab	0.0085634	463.76
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	1895	2416	.	ab	0.0072157	471.95
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	1972	2493	.	ab	0.0060731	479.16
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	3743	4264	.	ab	0.10941	134.37
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	3834	4355	.	ab	0.060534	249.23
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	4166	4687	.	ab	0.014943	428.18
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	4967	5488	.	ab	0.011524	446.68
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	5272	5793	.	ab	0.01145	447.09
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	6282	6803	.	ab	0.0042172	491.59
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	6514	7035	.	ab	0.0055176	482.78
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	7532	8053	.	ab	0.0098073	456.44
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	7571	8092	.	ab	0.010524	452.33
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	8130	8651	.	ab	0.0012616	515.69
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	8868	9389	.	ab	0.0363	331.94
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	9721	10242	.	ab	0.023393	386.68
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	11236	11757	.	ab	0.0085375	463.91
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	11339	11860	.	ab	0.0017358	511.03
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	12117	12638	.	ab	0.0064382	476.83
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	12753	13274	.	ab	0.019643	404.45
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	16737	17258	.	ab	0.026749	371.55
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	17701	18222	.	ab	0.0036144	495.9
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	18968	19489	.	ab	0.035102	336.65
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	19859	20380	.	ab	0.023551	385.95
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	20557	21078	.	ab	0.03524	336.11
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	20805	21326	.	ab	0.034486	339.1
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	20908	21429	.	ab	0.030948	353.54
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	22997	23518	.	ab	0.016067	422.34
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	25216	25737	.	ab	0.015326	426.18
gdiff	AG-903-D02_contigs.fasta	AG-912-F16_contigs.fasta	AG-903-D02_NODE_1	26029	26550	.	ab	0.01234	442.16
