# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-915-G14.gdsk selected_coord_sketches/AG-900-I19.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-915-G14_AG-900-I19.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:12 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	632	1153	.	ab	0.22354	19.416
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	796	1317	.	ab	0.24943	10.453
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	891	1799	.	ab	0.23155	32.414
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	1801	3183	.	ab	0.21831	68.43
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	1953	2474	.	ab	0.26045	7.7375
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	2032	2553	.	ab	0.22608	18.352
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	3173	4249	.	ab	0.18537	94.143
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	3857	4378	.	ab	0.22045	20.77
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	3951	4472	.	ab	0.21464	23.498
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	4250	5359	.	ab	0.19921	76.377
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	4293	4814	.	ab	0.21139	25.137
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	5119	5640	.	ab	0.20203	30.335
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	5356	6645	.	ab	0.21557	66.711
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	5433	5954	.	ab	0.22045	20.77
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	6474	6995	.	ab	0.17116	53.273
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	6645	7730	.	ab	0.17427	114.36
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	6713	7234	.	ab	0.17636	48.708
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	7730	10558	.	ab	0.19614	219.65
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	7762	8283	.	ab	0.22644	18.204
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	7802	8323	.	ab	0.22908	17.151
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	8378	8899	.	ab	0.20432	28.995
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	9139	9660	.	ab	0.1672	56.951
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	10017	10538	.	ab	0.17604	48.983
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	10570	12201	.	ab	0.18155	157.02
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	11579	12100	.	ab	0.21015	25.784
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	11685	12206	.	ab	0.20584	28.131
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	12194	12466	.	ab	0.21858	8.8945
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	12459	13451	.	ab	0.15323	144.75
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	12487	13008	.	ab	0.19892	32.226
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	13143	13664	.	ab	0.10807	137.99
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	13470	14915	.	ab	0.15857	198.95
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	14928	15383	.	ab	0.11971	101.33
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	15712	15855	.	ab	0.057421	61.354
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	15914	16633	.	ab	0.21069	37.608
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	16686	17483	.	ab	0.20649	45.996
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	17247	17768	.	ab	0.21242	24.61
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	17495	18085	.	ab	0.17696	55.629
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	18087	18647	.	ab	0.12203	123.21
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	18241	18762	.	ab	0.11233	130.25
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	18655	19110	.	ab	0.10894	117.62
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	19546	20067	.	ab	0.19116	37.328
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	20465	20986	.	ab	0.15968	64.468
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	21184	21705	.	ab	0.16265	61.415
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	21292	23067	.	ab	0.14883	285.55
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	21440	21961	.	ab	0.18404	42.524
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	21546	22067	.	ab	0.18721	40.145
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	23067	23681	.	ab	0.04589	355.57
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	23699	24220	.	ab	0.081073	195.69
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	23708	24844	.	ab	0.068392	517.06
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	24822	28046	.	ab	0.069023	1488
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	25986	26507	.	ab	0.085581	184.93
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	26823	27344	.	ab	0.077488	204.61
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	26885	27406	.	ab	0.083322	190.27
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	27051	27572	.	ab	0.055112	268.25
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	27697	28218	.	ab	0.062513	245.54
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	28049	28711	.	ab	0.043778	394.31
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	28711	29658	.	ab	0.056509	492.86
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	28788	29309	.	ab	0.070064	224.12
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	29680	30624	.	ab	0.053106	511.18
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	29845	30366	.	ab	0.045298	301.29
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	30625	31644	.	ab	0.014086	870.76
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	30761	31282	.	ab	0.0084323	469.01
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	31710	32084	.	ab	0.014939	305.71
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	32055	32576	.	ab	0.018872	412.08
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	32087	33274	.	ab	0.019209	957.77
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	33311	35485	.	ab	0.031665	1534.3
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	33985	34506	.	ab	0.057631	260.32
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	34741	35262	.	ab	0.033552	346.01
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	35467	36222	.	ab	0.011328	662.43
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	36173	36694	.	ab	0.018153	415.68
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	36219	37229	.	ab	0.010793	897.66
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	37232	37657	.	ab	0.043189	248.93
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	37453	37974	.	ab	0.04613	298.35
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	37644	39479	.	ab	0.034836	1245.9
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	37664	38185	.	ab	0.038387	326.85
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	39476	40060	.	ab	0.043838	345.61
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	39541	40062	.	ab	0.050869	282.09
gdiff	AG-900-I19_contigs.fasta	AG-915-G14_contigs.fasta	AG-900-I19_NODE_1	39826	40347	.	ab	0.032648	349.72
