# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-920-K11.gdsk selected_coord_sketches/AG-916-M15.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-920-K11_AG-916-M15.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	362	1312	.	ab	0.0031264	919.96
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	599	1120	.	ab	0.0043256	490.93
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	755	1276	.	ab	0.0025546	504.1
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	1302	1565	.	ab	0.0045229	241.49
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	1565	3295	.	ab	0.026108	1285.3
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	1851	2372	.	ab	4.7832e-08	584.29
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	1926	2447	.	ab	0.0020565	508.26
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	3292	4410	.	ab	0.029199	794.98
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	3656	4177	.	ab	0.013592	435.44
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	3745	4266	.	ab	0.013367	436.65
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	4069	4590	.	ab	0.020785	399.01
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	4461	4778	.	ab	0.0081772	278.1
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	4778	5422	.	ab	0.047925	361.77
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	4851	5372	.	ab	0.051473	277.64
gdiff	AG-916-M15_contigs.fasta	AG-920-K11_contigs.fasta	AG-916-M15_NODE_1	5149	5670	.	ab	0.031086	353.04
