# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-903-K22.gdsk selected_coord_sketches/AG-414-L09.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-903-K22_AG-414-L09.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:13 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	134	643	.	ab	0.01968	396.32
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	538	1059	.	ab	0.019053	409.15
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	643	1560	.	ab	0.023164	698.89
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	678	1199	.	ab	0.0177	415.9
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	1553	2116	.	ab	0.022355	426.33
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	1663	2184	.	ab	0.029285	362.14
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	1731	2252	.	ab	0.042137	311.24
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	2167	2958	.	ab	0.13241	153.78
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	2969	3874	.	ab	0.02303	690.6
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	3285	3806	.	ab	0.018514	411.82
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	3365	3886	.	ab	0.022962	390.39
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	3657	4178	.	ab	0.0076186	471.6
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	3891	4067	.	ab	0.0069429	152.21
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	4069	5397	.	ab	0.0072402	1231.4
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	4360	4881	.	ab	0.010592	453.98
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	4627	5148	.	ab	0.0050764	487.92
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	5404	6765	.	ab	0.028064	988.75
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	5514	6035	.	ab	0.060362	250.79
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	5718	6239	.	ab	0.030604	356.54
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	6611	7132	.	ab	0.015912	425.04
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	6645	7166	.	ab	0.018885	409.98
gdiff	AG-414-L09_contigs.fasta	AG-903-K22_contigs.fasta	AG-414-L09_NODE_1	6755	7339	.	ab	0.01632	476.11
