# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-911-N14.gdsk selected_coord_sketches/AG-911-G03.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-911-N14_AG-911-G03.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:08 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	377	1447	.	ab	0.18102	99.118
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	623	1144	.	ab	0.22439	18.707
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	785	1306	.	ab	0.20374	28.826
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	1428	2252	.	ab	0.25356	17.161
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	1925	2446	.	ab	0.23728	13.896
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	2003	2524	.	ab	0.25049	9.9629
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	2304	3407	.	ab	0.17375	115.54
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	3408	4280	.	ab	0.21341	43.913
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	3803	4324	.	ab	0.20148	30.132
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	3895	4416	.	ab	0.18393	41.889
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	4233	4754	.	ab	0.20374	28.826
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	4289	4474	.	ab	0.16216	16.94
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	4476	5885	.	ab	0.25607	31.415
gdiff	AG-911-G03_contigs.fasta	AG-911-N14_contigs.fasta	AG-911-G03_NODE_1	5047	5568	.	ab	0.25049	9.9629
