genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-916-O06	reference	AG-916-O06_NODE_1	123967	27	AG-916-O06_00024	25449	26987	1539	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_1	123967	27	AG-916-O06_00061	56672	57667	996	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_1	123967	27	AG-916-O06_00075	71298	75800	4503	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_1	123967	27	AG-916-O06_00093	93213	94775	1563	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_1	123967	27	AG-916-O06_00117	114161	115879	1719	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_10	32446	27	AG-916-O06_00778	10547	12385	1839	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_10	32446	27	AG-916-O06_00800	27842	29221	1380	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_11	29534	27	AG-916-O06_00829	20340	20621	282	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_11	29534	27	AG-916-O06_00830	20637	21371	735	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_12	27656	27	AG-916-O06_00864	20943	22838	1896	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_14	20828	27	AG-916-O06_00902	10942	14166	3225	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_15	16228	27	AG-916-O06_00915	8870	10021	1152	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_17	13054	27	AG-916-O06_00939	10479	12524	2046	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_2	121045	27	AG-916-O06_00142	11769	12830	1062	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_2	121045	27	AG-916-O06_00154	23175	24797	1623	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_2	121045	27	AG-916-O06_00213	69430	70464	1035	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_2	121045	27	AG-916-O06_00230	85310	86779	1470	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_27	2336	27	AG-916-O06_00997	83	1348	1266	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_3	112203	27	AG-916-O06_00321	42242	42922	681	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_4	87969	27	AG-916-O06_00426	20458	23106	2649	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_4	87969	27	AG-916-O06_00435	28842	29888	1047	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_4	87969	27	AG-916-O06_00439	31220	32629	1410	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_4	87969	27	AG-916-O06_00489	79231	81426	2196	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_5	73969	27	AG-916-O06_00498	514	1950	1437	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_5	73969	27	AG-916-O06_00548	49977	51191	1215	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_6	55620	27	AG-916-O06_00572	2800	3924	1125	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_6	55620	27	AG-916-O06_00574	4576	5586	1011	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_6	55620	27	AG-916-O06_00575	5577	7526	1950	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_6	55620	27	AG-916-O06_00592	21343	22215	873	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_6	55620	27	AG-916-O06_00613	40097	41035	939	+	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_6	55620	27	AG-916-O06_00632	54002	55096	1095	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_7	45311	27	AG-916-O06_00662	31407	32618	1212	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_8	39363	27	AG-916-O06_00677	686	2467	1782	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_8	39363	27	AG-916-O06_00682	5541	7400	1860	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_8	39363	27	AG-916-O06_00683	7400	7870	471	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_9	34285	27	AG-916-O06_00732	6398	7903	1506	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_9	34285	27	AG-916-O06_00748	22317	23297	981	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_9	34285	27	AG-916-O06_00754	26789	27853	1065	-	1	1	0	1	1
AG-916-O06	reference	AG-916-O06_NODE_9	34285	27	AG-916-O06_00755	27854	28747	894	-	1	1	0	1	1
