# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-903-F09.gdsk selected_coord_sketches/AG-919-L14.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-903-F09_AG-919-L14.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:12 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	571	1092	.	ab	0.10121	151.19
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	719	1240	.	ab	0.098808	156.04
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	1368	2051	.	ab	0.099577	206.48
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	1764	2285	.	ab	0.30451	1.5278
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	1836	2357	.	ab	0.27688	4.6602
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	2123	2746	.	ab	0.26548	8.7409
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	2749	4569	.	ab	0.32168	7.4596
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	3484	4005	.	ab	0.32186	0.5305
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	3569	4090	.	ab	0.30451	1.5278
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	3878	4399	.	ab	0.35025	0
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	4573	5388	.	ab	0.27476	9.9023
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	4624	5145	.	ab	0.27937	4.2833
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	4908	5429	.	ab	0.26455	6.8689
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	5441	6820	.	ab	0.36229	0.55514
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	5848	6369	.	ab	0.35025	0
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	6064	6585	.	ab	0.32186	0.5305
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	6860	7597	.	ab	0.31674	1.8311
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	7011	7532	.	ab	0.35025	0
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	7048	7569	.	ab	0.35025	0
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	7568	8089	.	ab	0.31722	0.73797
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	7649	8992	.	ab	0.28832	13.47
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	8256	8777	.	ab	0.2806	4.1038
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	8989	10590	.	ab	0.287	17.56
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	9049	9570	.	ab	0.26698	6.3865
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	10460	10981	.	ab	0.27937	4.2833
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	10555	11076	.	ab	0.27937	4.2833
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	10591	11304	.	ab	0.28628	5.7123
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	11280	11801	.	ab	nan	nan
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	11346	11963	.	ab	0.29962	2.7258
gdiff	AG-903-F09_contigs.fasta	AG-919-L14_contigs.fasta	AG-903-F09_NODE_1	11872	12393	.	ab	0.35025	0
