# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-430-E20.gdsk selected_coord_sketches/AG-390-D18.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-430-E20_AG-390-D18.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:06 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	647	1168	.	ab	0.23152	16.011
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	815	1336	.	ab	0.2442	11.792
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	1998	2519	.	ab	0.29143	2.6859
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	2079	2600	.	ab	0.30408	1.5266
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	3947	4468	.	ab	0.30408	1.5266
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	4043	4564	.	ab	0.32144	0.53017
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	4393	4914	.	ab	0.34985	0
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	5238	5759	.	ab	nan	nan
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	5559	6080	.	ab	nan	nan
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	6624	7145	.	ab	nan	nan
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	6869	7390	.	ab	nan	nan
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	7942	8463	.	ab	0.30408	1.5266
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	7984	8505	.	ab	0.30408	1.5266
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	8572	9093	.	ab	0.21683	22.166
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	9351	9872	.	ab	0.27319	5.1786
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	10250	10771	.	ab	0.34238	0.032517
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	11848	12369	.	ab	0.32144	0.53017
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	11956	12477	.	ab	0.34985	0
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	12777	13298	.	ab	nan	nan
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	13448	13969	.	ab	0.34985	0
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	17648	18169	.	ab	0.30408	1.5266
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	18664	19185	.	ab	0.32144	0.53017
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	20001	20522	.	ab	0.29143	2.6859
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	20940	21461	.	ab	nan	nan
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	21676	22197	.	ab	0.34985	0
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	21938	22459	.	ab	0.32144	0.53017
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	22046	22567	.	ab	0.32144	0.53017
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	24250	24771	.	ab	0.27092	5.5672
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	26590	27111	.	ab	0.28145	3.9163
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	27446	27967	.	ab	0.30053	1.8108
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	27509	28030	.	ab	0.30053	1.8108
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	27680	28201	.	ab	0.32144	0.53017
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	28341	28862	.	ab	0.17175	52.139
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	29457	29978	.	ab	0.15272	71.252
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	30538	31059	.	ab	0.21187	24.59
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	31476	31997	.	ab	0.16315	60.224
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	32800	33321	.	ab	0.19591	33.742
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	34775	35296	.	ab	0.1563	67.303
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	35549	36070	.	ab	0.32144	0.53017
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	37014	37535	.	ab	0.12671	105.34
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	38323	38844	.	ab	0.13597	92.047
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	38539	39060	.	ab	0.15151	72.619
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	40460	40981	.	ab	0.20767	26.795
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	40751	41272	.	ab	0.21425	23.404
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	40978	41499	.	ab	0.21799	21.625
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	42787	43308	.	ab	0.1571	66.453
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	43735	44256	.	ab	0.19697	33.064
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	44175	44696	.	ab	0.17529	49.062
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	46160	46681	.	ab	0.17069	53.086
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	46267	46788	.	ab	0.1559	67.745
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	46461	46982	.	ab	0.15645	67.146
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	52690	53211	.	ab	0.13723	90.338
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	52977	53498	.	ab	0.13479	93.671
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	53239	53760	.	ab	0.12915	101.71
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	56041	56562	.	ab	0.19217	36.21
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	56129	56650	.	ab	0.21925	21.051
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	56197	56718	.	ab	0.22905	16.947
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	56698	57219	.	ab	0.22631	18.028
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	57243	57764	.	ab	0.12853	102.63
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	58932	59453	.	ab	0.22817	17.29
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	59181	59702	.	ab	0.1595	63.929
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	59330	59851	.	ab	0.16384	59.537
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	59825	60346	.	ab	0.21192	24.568
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	60234	60755	.	ab	0.19111	36.929
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	60936	61457	.	ab	0.17592	48.529
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	61539	62060	.	ab	0.17168	52.198
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	64975	65496	.	ab	0.17872	46.205
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	66794	67315	.	ab	0.17017	53.557
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	66919	67440	.	ab	0.17117	52.655
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	68148	68669	.	ab	0.18019	45.028
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	71477	71998	.	ab	0.2665	6.3828
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	73437	73958	.	ab	0.18352	42.429
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	73966	74487	.	ab	0.20875	26.216
gdiff	AG-390-D18_contigs.fasta	AG-430-E20_contigs.fasta	AG-390-D18_AG-390-D18_NODE_1	74207	74728	.	ab	0.22812	17.31
