# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-359-O11.gdsk selected_coord_sketches/AG-910-E21.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-359-O11_AG-910-E21.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:12 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	46	408	.	ab	0.059467	170.87
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	412	1260	.	ab	0.054461	446.49
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	606	1127	.	ab	0.057546	258.4
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	764	1285	.	ab	0.055397	265.09
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	1257	1928	.	ab	0.046142	385.7
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	1873	2394	.	ab	0.017497	415.26
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	1933	2760	.	ab	0.028776	586.34
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	1949	2470	.	ab	0.026038	374.87
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	2765	3907	.	ab	0.062913	550.07
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	3700	4221	.	ab	0.042807	307.61
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	3789	4310	.	ab	0.038986	321.76
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	3904	4833	.	ab	0.018286	747.02
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	4118	4639	.	ab	0.017826	413.61
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	4836	5297	.	ab	0.028614	319.77
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	4910	5431	.	ab	0.039148	321.15
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	5211	5732	.	ab	0.07223	216.47
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	5287	6027	.	ab	0.081633	279.69
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	6020	6934	.	ab	0.04077	565.69
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	6209	6730	.	ab	0.036952	329.55
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	6439	6960	.	ab	0.023094	388.24
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	6935	7456	.	ab	0.029764	358.69
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	7445	7966	.	ab	0.046938	293
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	7471	9210	.	ab	0.036378	1149.1
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	7484	8005	.	ab	0.047158	292.24
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	8035	8556	.	ab	0.029835	358.39
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	8766	9287	.	ab	0.039922	318.24
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	9185	9325	.	ab	0.042211	72.264
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	9555	9947	.	ab	0.085793	134.37
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	9608	10129	.	ab	0.078745	199.79
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	9922	11037	.	ab	0.050928	617.23
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	11017	11277	.	ab	0.026935	176.89
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	11106	11627	.	ab	0.036952	329.55
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	11207	11728	.	ab	0.043387	305.52
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	11298	11831	.	ab	0.034038	349.3
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	11815	12789	.	ab	0.070938	424.29
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	11977	12498	.	ab	0.064683	237.22
gdiff	AG-359-O11_contigs.fasta	AG-910-E21_contigs.fasta	AG-359-O11_NODE_1	12606	13127	.	ab	0.063451	240.77
