# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-903-C11.gdsk selected_coord_sketches/AG-894-B06.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-903-C11_AG-894-B06.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:12 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	513	1088	.	ab	4.7832e-08	639.78
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	650	1171	.	ab	4.7832e-08	584.87
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	819	1340	.	ab	4.7832e-08	584.87
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	1128	2636	.	ab	4.7832e-08	1589.8
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	2008	2529	.	ab	4.7832e-08	584.87
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	2090	2611	.	ab	4.7832e-08	584.87
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	2636	3727	.	ab	4.7832e-08	1165
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	3720	4841	.	ab	4.7832e-08	1195.6
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	3967	4488	.	ab	4.7832e-08	584.87
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	4063	4584	.	ab	4.7832e-08	584.87
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	4415	4936	.	ab	4.7832e-08	584.87
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	4825	5805	.	ab	4.7832e-08	1052
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	5264	5785	.	ab	4.7832e-08	584.87
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	5587	6108	.	ab	4.7832e-08	584.87
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	5802	6677	.	ab	4.7832e-08	945.05
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	6658	7179	.	ab	4.7832e-08	584.87
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	6679	7830	.	ab	4.7832e-08	1226.1
gdiff	AG-894-B06_contigs.fasta	AG-903-C11_contigs.fasta	AG-894-B06_NODE_1	6904	7425	.	ab	4.7832e-08	584.87
