# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-414-K15.gdsk selected_coord_sketches/AG-891-I18.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-414-K15_AG-891-I18.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:34:09 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	113	1690	.	ab	0.25247	39.318
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	555	1076	.	ab	0.23628	14.424
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	699	1220	.	ab	0.2817	3.9186
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	1715	2236	.	ab	0.24616	11.304
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	1715	2542	.	ab	0.24984	19.096
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	1784	2305	.	ab	0.26248	7.25
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	2543	2959	.	ab	0.25066	7.2111
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	2970	4955	.	ab	0.20044	139.76
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	3387	3908	.	ab	0.22598	18.288
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	3470	3991	.	ab	0.19516	34.45
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	3770	4291	.	ab	0.17114	53.019
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	4495	5016	.	ab	0.17175	52.473
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	4771	5292	.	ab	0.18861	38.926
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	4952	5578	.	ab	0.22245	24.904
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	5685	6206	.	ab	0.19648	33.596
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	5895	6416	.	ab	0.19947	31.718
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	5962	7776	.	ab	0.18051	177.88
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	6816	7337	.	ab	0.17038	53.711
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	6852	7373	.	ab	0.17758	47.447
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	7357	7878	.	ab	0.17681	48.081
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	7829	8179	.	ab	0.2539	4.9659
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	8026	8547	.	ab	0.22205	19.948
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	8223	8882	.	ab	0.22428	25.522
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	8797	9318	.	ab	0.23768	13.945
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	8884	10512	.	ab	0.26097	33.748
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	10169	10690	.	ab	0.25649	8.5942
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	10261	10782	.	ab	0.25649	8.5942
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	10509	12053	.	ab	0.2391	51.012
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	10966	11487	.	ab	0.24957	10.352
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	11542	12063	.	ab	0.23952	13.339
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	12055	12393	.	ab	0.26091	3.724
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	12386	13237	.	ab	0.24915	20.127
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	13485	14735	.	ab	0.33029	2.846
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	15147	15668	.	ab	0.26677	6.3849
gdiff	AG-414-K15_contigs.fasta	AG-891-I18_contigs.fasta	AG-414-K15_NODE_1	15178	16002	.	ab	0.26353	13.54
