# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-359-E10.gdsk selected_coord_sketches/AG-903-K22.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-359-E10_AG-903-K22.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:10 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	519	1241	.	ab	0.28869	5.3485
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	557	1078	.	ab	0.30434	1.5274
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	702	1223	.	ab	0.32169	0.53037
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	1184	1813	.	ab	0.27535	6.5945
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	1721	2242	.	ab	0.28172	3.9187
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	1791	2312	.	ab	0.2917	2.6874
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	1906	2976	.	ab	0.30641	5.5085
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	2973	4124	.	ab	0.28178	13.046
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	3399	3920	.	ab	0.26436	6.8659
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	3482	4003	.	ab	0.26436	6.8659
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	3783	4304	.	ab	0.23629	14.426
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	4121	5104	.	ab	0.25946	18.891
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	4511	5032	.	ab	0.35009	0
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	4788	5309	.	ab	0.32169	0.53037
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	5105	5593	.	ab	0.28866	2.6717
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	5590	6168	.	ab	0.29365	3.0354
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	5705	6226	.	ab	0.31705	0.73797
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	5916	6437	.	ab	0.34263	0.032455
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	6176	8749	.	ab	0.32162	12.15
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	6840	7361	.	ab	0.30434	1.5274
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	6876	7397	.	ab	0.35009	0
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	7383	7904	.	ab	0.28877	3.0177
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	8054	8575	.	ab	nan	nan
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	8758	9033	.	ab	nan	nan
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	8828	9349	.	ab	0.35009	0
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	9040	9774	.	ab	0.33643	0.54062
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	9793	10020	.	ab	0.31347	0
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	10025	10615	.	ab	0.27037	6.9497
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	10204	10725	.	ab	0.27918	4.2819
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	10297	10818	.	ab	0.28877	3.0177
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	10572	11102	.	ab	0.3508	0
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	11004	11525	.	ab	0.28172	3.9187
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	11142	12602	.	ab	0.30253	9.9499
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	11582	12103	.	ab	0.35009	0
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	12602	13453	.	ab	0.28764	7.1576
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	13440	14504	.	ab	0.28699	10.111
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	14506	15441	.	ab	0.23495	31.082
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	15199	15720	.	ab	0.25482	9.0027
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	15431	16375	.	ab	0.28662	8.6125
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	16074	16595	.	ab	0.2712	5.5704
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	16376	17344	.	ab	0.27796	11.451
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	17225	17746	.	ab	nan	nan
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	17341	17766	.	ab	nan	nan
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	17758	18246	.	ab	0.34737	0
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	18034	18555	.	ab	0.2917	2.6874
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	18243	19625	.	ab	0.29546	11.371
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	18668	19189	.	ab	0.32169	0.53037
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	18894	19415	.	ab	0.32169	0.53037
gdiff	AG-359-E10_contigs.fasta	AG-903-K22_contigs.fasta	AG-359-E10_NODE_1	18987	19508	.	ab	0.32169	0.53037
