# invocation: /drive1/asapci/GORG-gdiff-analysis/bin/gdiff-x86 dist selected_coord_sketches/AG-893-E23.gdsk selected_coord_sketches/AG-891-G05.gdsk --output-samples -o gene_coords/gdiff_gene_distances/AG-893-E23_AG-891-G05.tsv
# version: gdiff v0.2.0-rc Mon Sep 21 19:33:11 2026
config	genome_a	genome_b	seq	start	end	strand	direction	d	lr_ub
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	661	1182	.	ab	4.7832e-08	597.81
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	833	1354	.	ab	4.7832e-08	597.81
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	1283	1483	.	ab	4.7832e-08	263.82
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	1778	1900	.	ab	4.7832e-08	183.2
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	2043	2564	.	ab	4.7832e-08	597.81
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	2126	2647	.	ab	4.7832e-08	597.81
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	2612	2767	.	ab	4.7832e-08	217.24
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	2873	3103	.	ab	0.00094923	233.17
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	3323	3502	.	ab	4.7832e-08	242.06
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	3758	3961	.	ab	4.7832e-08	266.92
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	4035	4556	.	ab	0.0088368	474.08
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	4133	4654	.	ab	4.7832e-08	597.81
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	4491	5012	.	ab	4.7832e-08	597.81
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	5355	5876	.	ab	4.7832e-08	597.81
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	5683	6204	.	ab	0.002928	514.09
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	6093	8531	.	ab	0.00068961	2522.5
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	6772	7293	.	ab	4.7832e-08	597.81
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	7022	7543	.	ab	0.0014603	526.99
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	8119	8640	.	ab	0.0026743	516.12
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	8162	8683	.	ab	0.0027523	515.49
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	8545	8931	.	ab	0.0034314	375.11
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	8764	9285	.	ab	4.7832e-08	597.81
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	8921	10114	.	ab	4.7832e-08	1299.3
gdiff	AG-891-G05_contigs.fasta	AG-893-E23_contigs.fasta	AG-891-G05_NODE_1	9560	10081	.	ab	4.7832e-08	597.81
