genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00002	560	2842	2283	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00003	2913	4439	1527	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00010	9382	10689	1308	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00015	14909	16495	1587	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00017	18681	19079	399	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00018	19051	19311	261	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00019	19311	21377	2067	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00022	23043	23828	786	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00023	23831	25042	1212	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00024	25039	25542	504	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00026	26095	28269	2175	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00027	28269	28871	603	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00033	31951	33510	1560	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00034	33511	34215	705	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00035	34227	35096	870	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00037	35620	37011	1392	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00040	39019	40320	1302	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00046	45930	46502	573	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00048	47088	48017	930	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00049	48060	50825	2766	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00050	50865	51563	699	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00051	51563	53083	1521	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00052	53132	54421	1290	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00053	54431	54883	453	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00054	54873	55835	963	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00055	55832	56530	699	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00056	56520	57239	720	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00057	57280	57675	396	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00058	57657	58160	504	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00059	58181	58780	600	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00060	58770	61865	3096	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00061	61866	62738	873	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00062	62743	63555	813	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00063	63555	64001	447	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00064	64104	64922	819	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00065	64919	65545	627	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00066	65542	65829	288	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00067	65863	66390	528	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00068	66420	67730	1311	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00069	67864	68169	306	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00070	68207	68650	444	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00071	68741	70825	2085	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00072	70839	71348	510	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00073	71345	72301	957	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00074	72349	73233	885	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00075	73237	74442	1206	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00076	74469	75695	1227	+	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00077	75688	76773	1086	-	1	1	0	1	1
AG-910-G11	reference	AG-910-G11_NODE_1	251721	34	AG-910-G11_00080	76993	77190	198	-	1	1	0	1	1
