genome	role	contig	contig_len	n_contigs	gene	gene_start	gene_end	gene_len	strand	mapped	mapped_pairs	mapped_as_query	mapped_as_reference	mapped_refs
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00001	171	515	345	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00002	586	2400	1815	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00003	2400	2660	261	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00004	2786	3409	624	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00005	3406	5481	2076	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00006	5498	5911	414	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00007	5911	6984	1074	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00008	7038	7955	918	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00009	7957	8655	699	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00010	8658	9743	1086	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00011	9740	10030	291	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00012	10038	10883	846	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00013	10921	11124	204	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00014	11128	11391	264	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00015	11388	12461	1074	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00016	12440	13531	1092	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00017	13506	14216	711	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00018	14244	15734	1491	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00019	15862	16395	534	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00020	16385	17827	1443	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00021	17828	18301	474	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00022	18386	19087	702	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00023	19093	19314	222	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00024	19311	20450	1140	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00025	20457	20837	381	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00026	20837	21289	453	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00027	21351	22535	1185	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00028	22539	23051	513	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00029	23042	24082	1041	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00030	24164	24928	765	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00031	24931	25278	348	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00032	25271	25855	585	-	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00033	25911	26231	321	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00034	26405	27112	708	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00035	27109	27336	228	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00036	27348	27767	420	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00037	27769	29646	1878	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00038	29636	30154	519	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00039	30151	30522	372	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00040	30519	31034	516	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00041	31044	32201	1158	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00042	32201	33352	1152	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00043	33363	34529	1167	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00044	34567	35940	1374	+	1	1	1	0	1
AG-892-K05	query	AG-892-K05_NODE_1	219023	23	AG-892-K05_00045	35958	36911	954	+	1	1	1	0	1
